Date,Price,Open,High,Low,Vol.,Change %
12/29/2015,3761.87,3723.05,3762.05,3710.48,101.89K,0.92%
12/30/2015,3765.18,3762.91,3765.66,3726.28,105.63K,0.09%
12/31/2015,3731.00,3760.90,3772.62,3727.32,101.87K,-0.91%
1/4/2016,3469.07,3725.86,3726.24,3468.95,115.37K,-7.02%
1/5/2016,3478.78,3382.18,3518.22,3377.28,162.12K,0.28%
1/6/2016,3539.81,3482.41,3543.74,3468.47,145.97K,1.75%
1/7/2016,3294.38,3481.15,3481.15,3284.74,44.10K,-6.93%
1/8/2016,3361.56,3371.87,3418.85,3237.93,185.96K,2.04%
1/11/2016,3192.45,3303.12,3342.48,3192.45,174.64K,-5.03%
1/12/2016,3215.71,3214.82,3242.25,3174.55,128.23K,0.73%
1/13/2016,3155.88,3240.48,3257.30,3155.88,120.67K,-1.86%
1/14/2016,3221.57,3076.64,3226.66,3072.04,134.54K,2.08%
1/15/2016,3118.73,3200.89,3216.80,3101.05,124.60K,-3.19%
1/18/2016,3130.73,3068.23,3165.62,3066.73,101.13K,0.38%
1/19/2016,3223.13,3132.70,3227.91,3119.22,127.65K,2.95%
1/20/2016,3174.38,3204.22,3225.95,3154.43,130.65K,-1.51%
1/21/2016,3081.35,3136.38,3202.54,3081.35,111.19K,-2.93%
1/22/2016,3113.46,3114.89,3132.17,3053.96,89.95K,1.04%
1/25/2016,3128.89,3129.03,3149.33,3105.10,81.54K,0.50%
1/26/2016,2940.51,3099.60,3106.53,2934.65,126.93K,-6.02%
1/27/2016,2930.35,2953.18,2963.54,2839.29,132.23K,-0.35%
1/28/2016,2853.76,2909.33,2941.89,2841.84,99.22K,-2.61%
1/29/2016,2946.09,2855.60,2965.31,2854.37,113.30K,3.24%
2/1/2016,2901.05,2939.04,2944.52,2869.56,86.80K,-1.53%
2/2/2016,2961.33,2901.53,2972.43,2901.51,88.60K,2.08%
2/3/2016,2948.64,2931.29,2954.71,2909.90,77.39K,-0.43%
2/4/2016,2984.76,2960.33,2999.21,2960.21,91.78K,1.22%
2/5/2016,2963.79,2982.06,2988.36,2962.85,76.85K,-0.70%
2/15/2016,2946.71,2888.43,2961.49,2886.02,72.92K,-0.58%
2/16/2016,3037.04,2962.19,3042.09,2962.19,112.58K,3.07%
2/17/2016,3063.32,3034.09,3065.78,3027.05,128.29K,0.87%
2/18/2016,3053.70,3079.53,3093.51,3049.84,124.40K,-0.31%
2/19/2016,3051.59,3047.94,3065.97,3032.63,87.34K,-0.07%
