Date,Open,High,Low,Price,Adj. Close,Vol.,Change %
16-Aug-17,4327.83,4358.47,4307.59,4346.75,,7.72B,0.30%
15-Aug-17,4321.30,4334.13,4309.94,4333.70,,6.88B,0.34%
14-Aug-17,4233.84,4320.77,4233.84,4319.09,,7.75B,2.16%
11-Aug-17,4280.46,4300.21,4223.72,4227.93,,9.06B,-1.93%
10-Aug-17,4327.86,4354.40,4286.51,4311.22,,8.32B,-0.58%
9-Aug-17,4312.48,4338.58,4297.73,4336.39,,8.75B,0.43%
8-Aug-17,4298.10,4325.78,4292.71,4317.84,,9.46B,0.43%
7-Aug-17,4260.67,4299.49,4256.92,4299.49,,7.87B,0.85%
4-Aug-17,4292.98,4303.54,4263.24,4263.24,,10.01B,-0.79%
3-Aug-17,4312.42,4326.71,4282.99,4297.01,,9.45B,-0.51%
2-Aug-17,4338.63,4352.56,4315.23,4318.88,,10.48B,-0.42%
1-Aug-17,4323.55,4338.49,4314.70,4337.12,,9.72B,0.22%
31-Jul-17,4302.46,4332.87,4292.73,4327.68,,10.22B,0.61%
28-Jul-17,4275.28,4307.84,4271.14,4301.58,,8.17B,0.50%
27-Jul-17,4241.35,4290.20,4209.61,4280.20,,9.85B,0.79%
26-Jul-17,4280.54,4285.93,4226.68,4246.76,,8.31B,-0.64%
25-Jul-17,4297.50,4305.96,4260.80,4274.16,,7.40B,-0.58%
24-Jul-17,4279.19,4305.91,4273.52,4299.05,,7.74B,0.38%
21-Jul-17,4277.98,4302.01,4273.25,4282.61,,7.05B,-0.03%
20-Jul-17,4249.75,4292.50,4246.77,4283.85,,8.61B,0.76%
19-Jul-17,4159.04,4252.23,4153.71,4251.69,,9.63B,2.00%
18-Jul-17,4133.60,4168.47,4109.70,4168.47,,6.96B,0.44%
17-Jul-17,4268.80,4269.43,4122.34,4150.17,,9.54B,-3.21%
14-Jul-17,4292.75,4297.00,4267.10,4287.67,,6.42B,-0.33%
13-Jul-17,4290.81,4312.15,4284.90,4301.99,,6.56B,0.20%
12-Jul-17,4300.65,4312.68,4257.97,4293.55,,7.31B,-0.16%
11-Jul-17,4299.60,4342.25,4299.21,4300.24,,7.20B,-0.15%
10-Jul-17,4319.78,4334.38,4303.76,4306.70,,8.52B,-0.53%
7-Jul-17,4315.54,4330.20,4304.97,4329.59,,7.30B,-0.03%
6-Jul-17,4326.43,4336.25,4290.24,4330.74,,7.67B,-0.04%
5-Jul-17,4280.28,4332.62,4276.71,4332.62,,6.40B,0.87%
4-Jul-17,4320.66,4320.66,4279.11,4295.44,,6.53B,-0.65%
3-Jul-17,4331.04,4335.01,4297.22,4323.44,,6.42B,-0.16%
30-Jun-17,4306.78,4334.67,4297.90,4330.42,,5.82B,0.19%
29-Jun-17,4299.51,4324.79,4298.20,4322.42,,5.98B,0.62%
28-Jun-17,4321.23,4327.14,4289.38,4295.63,,5.88B,-0.87%
27-Jun-17,4334.04,4337.85,4308.99,4333.54,,6.03B,-0.06%
26-Jun-17,4269.26,4335.97,4269.26,4335.97,,7.76B,1.70%
23-Jun-17,4208.50,4263.39,4190.61,4263.39,,6.37B,1.16%
22-Jun-17,4247.66,4277.49,4214.34,4214.34,,7.07B,-0.84%
21-Jun-17,4226.70,4250.13,4206.94,4250.13,,5.69B,1.01%
20-Jun-17,4208.29,4222.17,4201.27,4207.84,,5.75B,0.20%
19-Jun-17,4169.19,4199.63,4169.06,4199.63,,5.03B,0.76%
16-Jun-17,4176.65,4186.85,4161.87,4167.97,,5.22B,-0.29%
15-Jun-17,4152.31,4180.99,4145.69,4180.03,,5.84B,0.57%
14-Jun-17,4183.57,4190.29,4150.87,4156.33,,5.66B,-0.83%
13-Jun-17,4144.18,4196.05,4143.03,4190.98,,5.44B,0.98%
12-Jun-17,4155.31,4181.23,4145.70,4150.47,,5.37B,-0.39%
9-Jun-17,4153.69,4169.61,4147.68,4166.89,,5.13B,0.33%
8-Jun-17,4131.46,4157.54,4128.94,4153.21,,5.77B,0.46%
7-Jun-17,4056.32,4137.84,4054.37,4134.18,,6.64B,1.89%
6-Jun-17,4024.51,4057.47,4019.07,4057.47,,4.00B,0.75%
5-Jun-17,4012.61,4037.85,4012.43,4027.42,,4.39B,0.39%
2-Jun-17,3981.50,4018.47,3953.60,4011.70,,4.87B,0.55%
1-Jun-17,4020.50,4033.26,3989.50,3989.73,,5.35B,-1.08%
31-May-17,4063.94,4076.73,4025.27,4033.19,,5.86B,0.09%
26-May-17,4036.59,4052.96,4021.36,4029.43,,5.58B,-0.41%
25-May-17,4002.82,4056.52,3979.66,4046.08,,6.56B,0.84%
24-May-17,3977.43,4012.55,3933.06,4012.55,,5.09B,0.47%
23-May-17,4026.77,4045.17,3992.70,3993.76,,6.22B,-1.04%
22-May-17,4050.68,4074.93,4020.63,4035.85,,5.60B,-0.48%
19-May-17,4056.46,4067.79,4035.37,4055.20,,4.92B,0.03%
18-May-17,4044.06,4081.43,4036.61,4054.10,,5.34B,-0.48%
17-May-17,4078.09,4100.96,4070.16,4073.48,,6.96B,-0.30%
16-May-17,3993.40,4085.75,3972.21,4085.75,,6.95B,2.02%
15-May-17,3990.74,4013.11,3990.74,4005.04,,4.68B,0.60%
12-May-17,3965.35,3982.21,3946.28,3981.35,,4.89B,0.21%
11-May-17,3937.55,3973.68,3890.84,3973.02,,6.15B,0.39%
10-May-17,4000.53,4029.45,3957.35,3957.47,,5.74B,-1.19%
9-May-17,3972.23,4006.79,3947.13,4005.11,,4.89B,0.43%
8-May-17,4057.72,4065.47,3987.79,3987.79,,6.46B,-1.96%
5-May-17,4108.47,4113.36,4067.52,4067.52,,5.86B,-1.26%
4-May-17,4126.96,4155.59,4107.21,4119.23,,6.23B,-0.38%
3-May-17,4146.38,4161.06,4119.99,4135.14,,6.04B,-0.43%
2-May-17,4142.87,4153.88,4126.71,4152.95,,6.17B,-0.08%
28-Apr-17,4148.07,4156.48,4130.24,4156.48,,6.43B,-0.02%
27-Apr-17,4139.60,4163.63,4076.04,4157.20,,7.28B,0.11%
26-Apr-17,4132.20,4172.85,4131.79,4152.49,,6.64B,0.49%
25-Apr-17,4106.91,4149.66,4106.60,4132.42,,5.76B,0.78%
24-Apr-17,4174.81,4174.81,4085.76,4100.44,,5.73B,-2.07%
21-Apr-17,4203.71,4225.62,4180.54,4187.02,,5.67B,-0.41%
20-Apr-17,4196.39,4228.21,4185.40,4204.28,,6.69B,0.18%
19-Apr-17,4204.50,4211.88,4150.98,4196.59,,7.16B,-0.50%
18-Apr-17,4228.36,4262.23,4216.11,4217.77,,6.73B,-0.27%
17-Apr-17,4236.88,4249.03,4210.94,4229.36,,6.81B,-0.49%
14-Apr-17,4307.90,4308.00,4248.15,4250.13,,8.69B,-1.23%
13-Apr-17,4269.14,4310.05,4265.55,4303.15,,8.40B,0.73%
12-Apr-17,4292.06,4304.62,4268.86,4271.93,,10.98B,-0.59%
11-Apr-17,4280.41,4301.75,4224.13,4297.50,,10.44B,0.38%
10-Apr-17,4302.12,4304.72,4277.60,4281.05,,9.41B,-0.51%
7-Apr-17,4295.56,4316.72,4289.59,4303.12,,7.80B,0.14%
6-Apr-17,4295.74,4298.07,4277.19,4297.17,,6.42B,0.27%
5-Apr-17,4237.76,4287.80,4237.76,4285.72,,7.01B,1.80%
31-Mar-17,4175.78,4210.14,4175.78,4210.14,,4.69B,0.86%
30-Mar-17,4235.64,4240.07,4166.06,4174.41,,6.20B,-1.58%
29-Mar-17,4259.49,4267.52,4230.20,4241.56,,5.84B,-0.31%
28-Mar-17,4258.86,4271.09,4243.94,4254.92,,4.90B,-0.08%
27-Mar-17,4285.65,4293.70,4257.20,4258.20,,5.32B,-0.68%
24-Mar-17,4258.76,4297.03,4258.05,4287.49,,6.23B,0.71%
23-Mar-17,4245.17,4265.76,4216.01,4257.39,,5.44B,0.35%
22-Mar-17,4232.47,4255.99,4215.58,4242.65,,5.81B,-0.24%
21-Mar-17,4225.46,4253.02,4219.60,4253.02,,4.70B,0.61%
20-Mar-17,4221.96,4230.31,4198.85,4227.11,,4.96B,0.12%
17-Mar-17,4271.17,4277.57,4221.79,4222.18,,6.15B,-1.08%
16-Mar-17,4252.98,4274.25,4252.98,4268.29,,6.08B,0.69%
15-Mar-17,4224.49,4241.82,4218.91,4239.25,,4.82B,0.20%
