Date,Price,Open,High,Low,Vol.,Change %
4/13/2015,5447.41,5479.73,5486.88,5430.92,3.93B,-0.80%
4/14/2015,5419.11,5438.53,5448.45,5397.73,4.09B,-0.52%
4/15/2015,5414.55,5426.23,5430.07,5394.31,4.15B,-0.08%
4/16/2015,5420.73,5420.89,5428.22,5401.68,5.43B,0.11%
4/17/2015,5410.64,5418.01,5428.93,5410.64,3.83B,-0.19%
4/20/2015,5400.80,5406.76,5407.06,5383.25,4.08B,-0.18%
4/21/2015,5460.57,5406.62,5460.57,5405.00,4.51B,1.11%
4/22/2015,5437.12,5452.46,5458.20,5426.20,4.34B,-0.43%
4/23/2015,5436.21,5441.71,5464.34,5430.28,4.12B,-0.02%
4/24/2015,5435.35,5451.78,5464.34,5424.76,3.22B,-0.02%
4/27/2015,5245.45,5398.56,5403.59,5224.03,5.10B,-3.49%
4/28/2015,5242.16,5211.14,5242.16,5164.74,3.72B,-0.06%
4/29/2015,5105.56,5229.56,5237.21,5015.01,4.86B,-2.61%
4/30/2015,5086.43,5087.93,5141.50,5030.26,3.99B,-0.37%
5/4/2015,5141.14,5093.33,5171.09,5089.42,3.85B,1.08%
5/5/2015,5160.31,5153.76,5202.08,5130.64,4.00B,0.37%
5/6/2015,5184.95,5133.74,5184.95,5121.15,3.26B,0.48%
5/7/2015,5150.49,5155.33,5183.49,5137.82,4.98B,-0.66%
5/8/2015,5182.21,5175.78,5200.52,5175.75,4.57B,0.62%
5/11/2015,5172.48,5200.81,5215.28,5172.48,3.80B,-0.19%
5/12/2015,5205.61,5175.95,5217.11,5173.53,4.30B,0.64%
5/13/2015,5246.13,5217.15,5254.86,5199.21,4.85B,0.78%
5/15/2015,5227.10,5252.43,5264.93,5214.08,4.06B,-0.36%
5/18/2015,5237.81,5222.44,5239.87,5218.35,4.02B,0.20%
5/19/2015,5269.37,5236.90,5273.49,5219.57,3.61B,0.60%
5/20/2015,5292.75,5288.21,5312.90,5278.10,4.00B,0.44%
5/21/2015,5313.21,5309.99,5335.44,5275.99,4.14B,0.39%
5/22/2015,5315.15,5319.97,5329.02,5298.86,3.29B,0.04%
5/25/2015,5288.36,5309.83,5311.29,5285.42,3.32B,-0.50%
5/26/2015,5320.90,5285.07,5347.13,5284.11,3.89B,0.62%
5/27/2015,5253.39,5296.24,5315.50,5253.39,3.75B,-1.27%
5/28/2015,5237.40,5263.31,5278.42,5232.93,3.42B,-0.30%
5/29/2015,5216.38,5230.31,5252.20,5214.57,6.05B,-0.40%
6/1/2015,5213.82,5212.13,5215.55,5183.32,3.09B,-0.05%
6/3/2015,5130.50,5201.36,5205.56,5129.49,3.48B,-1.60%
6/4/2015,5095.82,5121.55,5143.22,5094.52,3.34B,-0.68%
6/5/2015,5100.57,5081.61,5100.57,5075.18,2.91B,0.09%
6/8/2015,5014.99,5086.35,5088.93,5006.43,3.58B,-1.68%
6/9/2015,4899.88,5002.23,5002.55,4852.76,4.09B,-2.30%
6/10/2015,4933.56,4914.74,4974.02,4912.83,4.52B,0.69%
6/11/2015,4928.81,4971.19,4979.26,4911.34,3.32B,-0.10%
6/12/2015,4935.82,4933.88,4947.50,4916.02,3.36B,0.14%
6/15/2015,4837.79,4925.22,4926.55,4837.79,3.15B,-1.99%
6/16/2015,4872.60,4847.39,4892.51,4826.13,3.50B,0.72%
6/17/2015,4945.75,4894.64,4955.56,4894.64,3.88B,1.50%
6/18/2015,4945.50,4947.96,4964.40,4932.92,3.02B,-0.01%
6/19/2015,4985.01,4958.86,4988.58,4958.86,2.59B,0.80%
6/22/2015,4959.25,4992.04,4992.04,4957.35,2.46B,-0.52%
6/23/2015,4937.65,4966.88,4972.18,4937.65,2.99B,-0.44%
6/24/2015,4953.52,4953.25,4973.48,4938.13,3.90B,0.32%
6/25/2015,4920.04,4944.13,4945.84,4920.04,3.17B,-0.68%
6/26/2015,4923.01,4917.03,4942.32,4897.90,2.63B,0.06%
6/29/2015,4882.58,4896.23,4896.59,4858.42,2.69B,-0.82%
6/30/2015,4910.66,4887.37,4930.25,4874.07,2.89B,0.58%
7/1/2015,4904.06,4924.07,4932.43,4904.06,3.43B,-0.13%
7/2/2015,4944.78,4914.43,4966.58,4914.43,4.20B,0.83%
7/3/2015,4982.91,4940.28,4982.91,4937.41,3.86B,0.77%
7/6/2015,4916.74,4946.10,4960.99,4913.29,3.29B,-1.33%
7/7/2015,4906.05,4918.28,4927.55,4891.05,3.44B,-0.22%
7/8/2015,4871.57,4912.64,4912.64,4856.44,4.39B,-0.70%
7/9/2015,4838.28,4849.80,4855.13,4811.90,3.49B,-0.68%
7/10/2015,4859.03,4858.98,4882.64,4845.78,3.85B,0.43%
7/13/2015,4893.92,4862.91,4898.14,4861.31,2.55B,0.72%
7/14/2015,4901.81,4907.87,4927.37,4892.12,3.10B,0.16%
7/15/2015,4869.85,4894.95,4897.86,4854.45,2.68B,-0.65%
7/22/2015,4906.69,4887.74,4906.69,4859.46,2.91B,0.76%
7/23/2015,4902.85,4897.20,4913.04,4889.83,3.21B,-0.08%
7/24/2015,4856.60,4890.78,4892.41,4848.73,2.59B,-0.94%
7/27/2015,4771.28,4833.15,4848.70,4771.28,3.48B,-1.76%
7/28/2015,4714.76,4747.35,4749.75,4711.49,3.20B,-1.18%
7/29/2015,4721.12,4733.82,4765.73,4720.40,3.20B,0.13%
7/30/2015,4712.49,4740.25,4754.72,4711.56,3.21B,-0.18%
7/31/2015,4802.53,4721.66,4802.53,4721.47,3.35B,1.91%
8/3/2015,4800.18,4778.04,4815.52,4774.78,2.85B,-0.05%
8/4/2015,4781.09,4784.15,4805.82,4771.89,3.24B,-0.40%
8/5/2015,4850.53,4786.39,4850.53,4780.97,3.83B,1.45%
8/6/2015,4806.56,4855.94,4868.07,4806.56,3.16B,-0.91%
8/7/2015,4770.30,4801.65,4804.33,4760.90,2.99B,-0.75%
8/10/2015,4748.95,4761.41,4764.74,4720.91,3.01B,-0.45%
8/11/2015,4622.59,4763.63,4771.72,4619.29,4.26B,-2.66%
8/12/2015,4479.49,4572.05,4572.05,4455.72,3.83B,-3.10%
8/13/2015,4584.25,4481.27,4600.55,4481.27,3.91B,2.34%
8/14/2015,4585.39,4587.51,4594.57,4559.86,3.30B,0.02%
8/18/2015,4510.48,4572.35,4579.08,4505.21,3.18B,-1.63%
8/19/2015,4484.24,4502.19,4529.25,4476.13,2.82B,-0.58%
8/20/2015,4441.91,4470.55,4473.08,4427.86,3.31B,-0.94%
8/21/2015,4335.95,4401.67,4401.67,4335.95,3.45B,-2.39%
8/24/2015,4163.73,4241.31,4241.91,4111.11,3.96B,-3.97%
8/25/2015,4228.50,4182.22,4301.77,4182.02,4.64B,1.56%
8/26/2015,4237.73,4200.82,4237.73,4161.21,3.68B,0.22%
8/27/2015,4430.63,4295.70,4433.46,4295.70,4.69B,4.55%
8/28/2015,4446.20,4480.11,4511.25,4433.66,4.31B,0.35%
8/31/2015,4509.61,4447.00,4509.61,4442.69,3.42B,1.43%
9/1/2015,4412.46,4484.20,4484.79,4411.13,3.05B,-2.15%
9/2/2015,4401.29,4367.81,4417.37,4350.48,3.67B,-0.25%
9/3/2015,4433.11,4427.95,4445.81,4404.88,3.25B,0.72%
9/4/2015,4415.34,4422.47,4433.55,4407.14,2.92B,-0.40%
9/7/2015,4301.36,4397.22,4398.01,4297.82,2.95B,-2.58%
9/8/2015,4318.59,4282.17,4325.43,4269.48,3.39B,0.40%
9/9/2015,4347.28,4347.48,4366.24,4323.56,3.77B,0.66%
9/10/2015,4343.26,4312.66,4343.66,4290.68,3.53B,-0.09%
9/11/2015,4360.47,4363.45,4381.65,4360.36,3.31B,0.40%
9/14/2015,4390.37,4378.19,4390.37,4365.57,2.50B,0.69%
9/15/2015,4347.16,4372.87,4376.78,4334.61,3.44B,-0.98%
9/16/2015,4332.51,4360.19,4370.35,4325.40,3.74B,-0.34%
9/17/2015,4378.39,4346.06,4389.36,4341.82,3.21B,1.06%
9/18/2015,4380.32,4383.07,4414.46,4359.01,4.39B,0.04%
9/21/2015,4376.08,4352.37,4382.24,4343.41,2.87B,-0.10%
9/22/2015,4344.04,4380.62,4389.31,4337.09,3.29B,-0.73%
9/23/2015,4244.43,4308.76,4308.98,4239.14,3.53B,-2.29%
9/25/2015,4209.44,4250.73,4251.23,4194.14,3.41B,-0.82%
9/28/2015,4120.50,4197.94,4199.46,4120.50,2.93B,-2.11%
9/29/2015,4178.41,4070.58,4178.41,4033.59,3.89B,1.41%
9/30/2015,4223.91,4189.47,4223.91,4168.22,3.80B,1.09%
10/1/2015,4254.88,4231.41,4270.91,4228.98,3.30B,0.73%
10/2/2015,4207.80,4243.97,4252.67,4207.80,3.64B,-1.11%
10/5/2015,4343.70,4243.33,4346.37,4241.02,3.80B,3.23%
10/6/2015,4445.78,4381.27,4464.90,4381.27,4.88B,2.35%
10/7/2015,4487.13,4458.84,4487.13,4414.83,5.00B,0.93%
10/8/2015,4491.43,4502.10,4537.25,4484.68,4.14B,0.10%
10/9/2015,4589.34,4538.50,4612.09,4538.50,6.87B,2.18%
10/12/2015,4630.71,4596.88,4639.94,4595.94,6.80B,0.90%
10/13/2015,4483.08,4621.89,4622.11,4483.08,5.06B,-3.19%
10/15/2015,4507.19,4513.27,4551.94,4507.19,3.77B,0.54%
10/16/2015,4521.88,4530.28,4544.82,4501.06,3.88B,0.33%
10/19/2015,4569.84,4534.71,4571.17,4533.94,4.59B,1.06%
10/20/2015,4585.82,4566.84,4608.35,4562.02,4.72B,0.35%
10/21/2015,4605.23,4597.19,4645.24,4591.23,4.40B,0.42%
10/22/2015,4584.56,4613.77,4616.22,4582.15,4.04B,-0.45%
10/23/2015,4653.15,4653.22,4666.91,4627.30,4.41B,1.50%
10/26/2015,4691.71,4683.11,4696.16,4675.06,3.86B,0.83%
10/27/2015,4674.06,4666.48,4674.06,4624.28,3.09B,-0.38%
10/28/2015,4608.74,4647.39,4657.41,4594.74,4.19B,-1.40%
10/29/2015,4472.02,4601.56,4605.76,4472.02,3.95B,-2.97%
10/30/2015,4455.18,4462.97,4480.60,4441.34,3.47B,-0.38%
11/2/2015,4464.96,4442.42,4470.42,4422.26,2.87B,0.22%
11/3/2015,4533.09,4496.66,4546.38,4496.66,3.42B,1.53%
11/4/2015,4612.56,4560.73,4612.56,4560.38,3.48B,1.75%
11/5/2015,4577.23,4600.64,4614.26,4574.13,2.50B,-0.77%
11/6/2015,4566.55,4586.59,4601.76,4563.70,2.36B,-0.23%
11/9/2015,4499.51,4553.42,4555.57,4491.04,2.45B,-1.47%
11/10/2015,4451.05,4464.13,4518.79,4451.05,4.03B,-1.08%
11/11/2015,4451.59,4450.22,4463.31,4425.88,2.93B,0.01%
11/12/2015,4462.23,4458.65,4494.85,4457.56,2.73B,0.24%
11/13/2015,4472.84,4442.02,4490.34,4435.25,2.81B,0.24%
