Date,Price,Open,High,Low,Vol.,Change %
10/23/2017,4835.64,4799.68,4835.64,4794.51,2.35B,0.73%
10/24/2017,4829.83,4833.55,4836.81,4798.43,2.49B,-0.12%
10/25/2017,4868.65,4825.77,4868.65,4823.95,2.37B,0.80%
10/26/2017,4869.86,4860.21,4883.54,4855.26,2.76B,0.02%
10/27/2017,4838.62,4868.08,4872.56,4834.59,2.59B,-0.64%
10/30/2017,4738.59,4834.81,4840.35,4711.36,3.34B,-2.07%
10/31/2017,4764.35,4731.29,4764.35,4722.66,2.29B,0.54%
11/1/2017,4762.60,4763.53,4788.27,4758.44,2.58B,-0.04%
11/2/2017,4719.91,4758.35,4758.35,4712.87,2.54B,-0.90%
11/3/2017,4678.69,4721.52,4730.44,4657.60,2.79B,-0.87%
11/6/2017,4728.38,4679.45,4728.38,4662.31,2.58B,1.06%
11/7/2017,4765.52,4731.08,4765.52,4728.94,2.86B,0.79%
11/8/2017,4768.74,4760.55,4801.73,4753.78,3.06B,0.07%
11/9/2017,4800.54,4763.72,4800.54,4758.75,2.61B,0.67%
11/10/2017,4819.10,4795.88,4823.14,4792.32,3.16B,0.39%
11/13/2017,4844.96,4823.65,4844.96,4806.05,3.50B,0.54%
11/14/2017,4814.14,4840.10,4850.07,4796.51,3.53B,-0.64%
11/15/2017,4761.31,4799.99,4805.26,4739.62,2.90B,-1.10%
11/16/2017,4784.86,4756.40,4792.13,4748.63,2.90B,0.49%
11/17/2017,4659.48,4779.21,4784.55,4659.07,3.69B,-2.62%
11/20/2017,4714.16,4640.92,4714.16,4571.28,2.95B,1.17%
11/21/2017,4726.64,4707.09,4749.31,4691.39,2.95B,0.26%
11/22/2017,4713.80,4726.19,4747.84,4679.53,3.13B,-0.27%
11/23/2017,4592.40,4703.29,4703.29,4590.56,3.13B,-2.58%
11/24/2017,4575.81,4578.71,4607.42,4561.76,2.48B,-0.36%
11/27/2017,4518.26,4569.66,4581.07,4513.62,2.40B,-1.26%
11/28/2017,4590.07,4516.05,4590.07,4516.05,2.23B,1.59%
11/29/2017,4598.84,4588.68,4604.04,4545.05,2.99B,0.19%
11/30/2017,4553.57,4587.17,4600.32,4547.44,2.32B,-0.98%
12/1/2017,4598.25,4551.71,4607.55,4551.71,2.38B,0.98%
12/4/2017,4565.22,4592.06,4605.81,4560.76,2.37B,-0.72%
12/5/2017,4457.91,4556.91,4569.21,4435.36,2.67B,-2.35%
12/6/2017,4501.05,4451.32,4501.28,4416.74,2.47B,0.97%
12/7/2017,4484.78,4493.35,4514.39,4481.63,1.98B,-0.36%
12/8/2017,4530.21,4480.43,4541.55,4479.07,2.15B,1.01%
12/11/2017,4597.15,4543.56,4597.15,4543.56,2.43B,1.48%
12/12/2017,4569.57,4598.09,4607.10,4568.56,2.45B,-0.60%
12/13/2017,4591.54,4562.42,4591.54,4551.83,2.22B,0.48%
12/14/2017,4592.69,4587.33,4601.97,4570.40,2.30B,0.03%
12/15/2017,4560.00,4585.04,4592.11,4547.80,2.54B,-0.71%
12/18/2017,4525.26,4550.49,4565.44,4511.88,2.13B,-0.76%
12/19/2017,4576.14,4526.50,4576.14,4526.50,2.05B,1.12%
12/20/2017,4533.13,4573.02,4573.28,4524.14,2.21B,-0.94%
